method,episode,run_progress,time_step,modality_count,c8_success,worst_modality_sr,best_modality_sr,c8_residual_distance,worst_residual_distance,c8_closeness,c8_success_envelope,worst_modality_sr_envelope,c8_closeness_envelope,c8_residual_envelope
constant_gate_pbrs,0,0.50108125,481038.0,3,0.8446808510638298,0.823404255319149,0.8574468085106383,0.5049645390070922,0.5872340425531914,0.9368794326241134,0.8446808510638298,0.823404255319149,0.9368794326241134,0.5049645390070922
constant_gate_pbrs,10,0.5121177083333334,491633.0,3,0.8588652482269503,0.8382978723404255,0.8787234042553191,0.39148936170212756,0.4468085106382978,0.951063829787234,0.8588652482269503,0.8382978723404255,0.951063829787234,0.39148936170212756
constant_gate_pbrs,20,0.52301875,502098.0,3,0.8418439716312056,0.823404255319149,0.8617021276595744,0.45248226950354614,0.4936170212765957,0.9434397163120567,0.8588652482269503,0.8382978723404255,0.951063829787234,0.39148936170212756
constant_gate_pbrs,30,0.5338947916666666,512539.0,3,0.8184397163120568,0.7914893617021277,0.8340425531914893,0.5021276595744681,0.5702127659574469,0.9372340425531915,0.8588652482269503,0.8382978723404255,0.951063829787234,0.39148936170212756
constant_gate_pbrs,40,0.5448416666666667,523048.0,3,0.8503546099290781,0.7978723404255319,0.8872340425531915,0.4652482269503546,0.6297872340425532,0.9418439716312057,0.8588652482269503,0.8382978723404255,0.951063829787234,0.39148936170212756
constant_gate_pbrs,50,0.5556114583333334,533387.0,3,0.8631205673758865,0.8,0.9085106382978724,0.37730496453900714,0.574468085106383,0.9528368794326241,0.8631205673758865,0.8382978723404255,0.9528368794326241,0.37730496453900714
constant_gate_pbrs,60,0.566421875,543765.0,3,0.8283687943262411,0.7872340425531915,0.851063829787234,0.45248226950354614,0.5361702127659574,0.9434397163120567,0.8631205673758865,0.8382978723404255,0.9528368794326241,0.37730496453900714
constant_gate_pbrs,70,0.577196875,554109.0,3,0.8503546099290781,0.8297872340425532,0.8723404255319149,0.4113475177304964,0.4638297872340425,0.948581560283688,0.8631205673758865,0.8382978723404255,0.9528368794326241,0.37730496453900714
constant_gate_pbrs,80,0.5880520833333334,564530.0,3,0.8680851063829786,0.8553191489361702,0.8936170212765957,0.4042553191489362,0.4553191489361702,0.949468085106383,0.8680851063829786,0.8553191489361702,0.9528368794326241,0.37730496453900714
constant_gate_pbrs,90,0.5989229166666666,574966.0,3,0.9148936170212766,0.8787234042553191,0.951063829787234,0.251063829787234,0.4042553191489361,0.9686170212765958,0.9148936170212766,0.8787234042553191,0.9686170212765958,0.251063829787234
